Date,Open,High,Low,Close,Volume,Market Cap,MA(20),MA(50),MA(200),RSI(14)(SMA)
Jan-01-2017,998.325,1031.39,996.702,1021.79,187143686.4,16343198030,878.4710952,802.4752353,678.0509801,87.16123441
Jan-02-2017,1021.75,1044.08,1021.6,1044.08,196321881.9,16552062818,890.9709524,809.1809804,679.4337164,87.71650315
Jan-03-2017,1043.84,1159.42,1043.84,1153.54,236739191,17558616451,908.7013333,817.9839216,681.444597,90.12629219
Jan-04-2017,1154.73,1191.1,910.417,1010.62,431154142.4,17283913160,919.7646667,823.8466863,682.7089602,64.27042723
Jan-05-2017,1013.38,1046.81,883.944,902.201,437660606.3,15215489313,925.3501905,826.9438431,683.399597,48.28742345
Jan-06-2017,903.487,908.572,823.556,908.572,322390361.1,14092019635,930.9579048,830.2226863,684.251597,50.92108372
Jan-07-2017,908.585,942.724,887.249,909.923,198818402.8,14738381597,936.6567143,833.3235686,685.4656418,51.22240579
Jan-08-2017,911.199,913.686,879.807,903.303,149843198.6,14451619138,941.9174762,836.3004902,687.0332139,49.65495846
Jan-09-2017,902.828,914.873,901.06,907.59,123322652.8,14598616493,946.9840952,839.7630588,688.444791,47.59083508
Jan-10-2017,907.679,919.448,762.765,778.886,188736649.3,13680757276,944.4517619,840.5337059,689.0017114,33.74861129
Jan-11-2017,777.757,826.246,755.756,805.331,286729264.8,12538164945,941.617,841.5919412,689.6981841,36.64686873
Jan-12-2017,804.834,829.001,780.003,822.841,183620721.3,12957544840,936.9204762,843.1264706,690.6572886,39.11394199
Jan-13-2017,823.984,835.085,812.456,818.72,135653939.9,13331049074,933.1207143,844.6611961,691.500995,38.62246717
Jan-14-2017,818.412,823.307,812.871,821.828,81401579.17,13184877519,929.560619,846.2339608,692.3702239,35.47362286
Jan-15-2017,821.798,834.53,820.271,831.325,74078441.81,13351746151,925.9551429,848.1106471,693.3233682,33.88901765
Jan-16-2017,831.534,910.561,830.796,907.348,119828898.3,14128975687,924.7500476,851.5492157,694.4841095,39.39792443
Jan-17-2017,907.938,917.499,858.304,882.968,160508503.5,14343702793,920.330381,854.4353529,695.5139801,25.83125505
Jan-18-2017,886.618,904.614,884.338,899.444,111160397.9,14428328589,916.7996667,857.6459412,696.4898806,37.17136844
Jan-19-2017,899.073,899.398,887.008,895.042,93650963.07,14409102219,913.6537143,860.5739216,697.6724677,48.91298076
Jan-20-2017,895.026,927.367,895.026,921.813,104795164.9,14797105550,911.6639048,863.8148039,698.8588557,51.89322124
Jan-21-2017,921.789,937.525,897.564,923.612,99935815.97,14910004657,908.1322381,866.6756471,700.1178955,51.95477276
Jan-22-2017,924.673,928.266,916.738,921.604,93124419.16,14878299327,903.3614762,869.6264706,701.3346716,52.64824285
Jan-23-2017,921.012,924.145,892.286,892.286,96510647.92,14521285581,896.1331905,871.9552157,702.5914826,47.93502842
Jan-24-2017,892.687,903.252,891.687,901.297,103423122.9,14485642973,884.121619,874.7517451,703.758597,74.39739466
Jan-25-2017,901.542,919.326,901.542,917.788,119703595.8,14686024162,879.7010476,877.7628235,705.0863433,73.3395596
Jan-26-2017,917.586,923.223,915.846,919.764,133798916.1,14850089984,880.537381,880.7356471,706.4298109,71.50203433
Jan-27-2017,919.75,923.911,919.75,921.583,91621393.75,14870049775,881.1569524,883.6889608,707.7925224,73.05528535
Jan-28-2017,921.59,923.418,919.148,919.518,59983756.6,14879590267,881.6138571,886.569451,709.0610348,71.9986849
Jan-29-2017,919.496,923.048,919.474,920.728,64508362.02,14876345029,882.443619,889.4336863,710.3797214,70.9130803
Jan-30-2017,920.382,972.019,920.382,970.555,111377196.9,15209183747,885.4419524,893.376098,711.9357811,66.85043694
Jan-31-2017,970.403,989.114,970.403,989.114,170890229.7,15805376727,895.4528095,897.4728824,713.5540199,79.20399269
Feb-01-2017,989.023,1013.52,983.221,1011.67,133897802.8,16099601074,905.2784762,901.9843922,715.2926219,79.87721764
Feb-02-2017,1011.8,1033.87,1008.79,1028.74,189501097.2,16529099347,915.0831905,906.8380784,717.0334179,83.34447326
Feb-03-2017,1029.91,1045.9,1015.16,1042.56,156215250,16654950352,925.7422381,912.0198431,718.8700547,82.19422063
Feb-04-2017,1042.9,1043.63,1022.37,1028.34,133484531.3,16717024915,935.5761429,916.7930784,720.6383433,76.18854714
Feb-05-2017,1027.34,1044.64,1027.34,1037.75,113484717.8,16762333454,945.4059048,921.6350392,722.4887612,78.006964
Feb-06-2017,1038.15,1061.93,1038.15,1061.26,130379906.3,17061730338,952.7350476,926.949,724.4596318,91.91987854
Feb-07-2017,1061.35,1078.97,1037.49,1062.99,181550142.4,17190497383,961.3075238,932.2463137,726.5117164,91.61703464
Feb-08-2017,1063.07,1088.99,953.344,992.935,266473874.6,16724473318,965.7594762,936.006,728.1899403,65.16118099
Feb-09-2017,994.383,998.905,946.691,989.841,320292798.6,15759021323,970.2737143,939.0996471,729.8249303,64.07479564
Feb-10-2017,988.674,1009.29,982.83,1004.15,138468881.9,16190892443,974.1945238,941.8308039,731.5672189,65.79111443
Feb-11-2017,1004.45,1004.76,996.921,999.095,77994253.82,16144778087,977.7889524,943.352902,733.2934478,65.04717784
Feb-12-2017,999.181,1002.1,976.002,991.026,79602618.47,16058780070,981.0947619,945.1668431,734.9686368,62.95653264
Feb-13-2017,990.642,1011.51,986.471,1004.58,116930831.8,16192991714,986.4420952,947.2842941,736.7072736,57.23902285
Feb-14-2017,1004.55,1008.84,1001.58,1007.42,109565172.9,16280711826,991.4955714,949.2525294,738.4509652,54.17388687
Feb-15-2017,1007.48,1033.37,1007.48,1027.56,100285827.2,16500635208,996.7228095,951.1134118,740.304199,53.66338368
Feb-16-2017,1027.44,1053.17,1025.64,1047.24,125479559,16778854589,1002.793095,952.5145686,742.4047015,54.21439181
Feb-17-2017,1046.21,1061.1,1046.21,1054.16,119479334.7,17128895718,1009.106286,954.0943922,744.6345075,52.7283076
Feb-18-2017,1054.42,1056.81,1043.46,1047.73,84642419.1,16998383619,1015.211619,955.7928824,747.1409154,54.73397918
Feb-19-2017,1047.87,1080.49,1041.69,1080.49,79101966.55,17064955079,1022.819333,958.0848627,749.6984478,59.36680897
Feb-20-2017,1079.98,1117.25,1076.93,1115.23,151632350.7,17685012642,1029.708619,960.3878627,752.3698657,61.27305996
Feb-21-2017,1115.3,1125.39,1100.55,1117.7,158114802.1,17978272043,1035.831762,962.268451,755.0686915,61.39241034
Feb-22-2017,1117.44,1176.62,1116.96,1174.63,140449146.3,18390776129,1043.591762,964.8282549,757.9884229,90.02251191
Feb-23-2017,1166.72,1200.39,1131.96,1173.85,300542034.7,19101340492,1050.501762,965.2264902,760.8800547,90.94967442
Feb-24-2017,1173.68,1174.85,1124.59,1143.13,196883670.1,18703608207,1055.29081,967.8247255,763.6271045,78.82350013
Feb-25-2017,1143.84,1167.47,1130.2,1165.57,133125041.7,18682792692,1061.825571,972.9888235,766.5004627,82.20355704
Feb-26-2017,1165.2,1181.98,1163.38,1179.03,115890369.3,18957409592,1068.55319,978.2919216,769.421791,85.62517054
Feb-27-2017,1179.97,1193.25,1171.82,1179.74,166211258.7,19122174591,1074.195095,983.582451,772.359005,84.88965023
Feb-28-2017,1179.97,1221.42,1179.69,1221.42,165318934,19360965290,1081.739381,989.8200392,775.5121642,86.91437246
Mar-01-2017,1222.5,1260.9,1215.62,1251.35,281175104.5,20013405607,1094.044857,996.5604314,778.8246269,87.34189888
Mar-02-2017,1251.01,1280.31,1250.71,1275.14,371834152.8,20503139440,1107.630524,1006.290902,782.3308507,87.51316829
Mar-03-2017,1274.99,1279.4,1230.51,1255.71,232846572.9,20534798044,1119.609571,1015.121863,785.7567114,81.86359756
Mar-04-2017,1255.15,1267.29,1238.06,1267.29,159470829.9,20309168247,1132.380762,1023.836549,789.1892488,84.15468857
Mar-05-2017,1267.12,1276,1264.6,1272.72,136216811.8,20597529241,1145.794762,1032.73851,792.6686517,82.68217212
Mar-06-2017,1272.83,1275.55,1204.8,1223.8,212690409.7,20209188488,1156.23381,1040.620314,795.9005672,67.60956305
Mar-07-2017,1223.54,1232.16,1148.08,1151.83,321602125,19335175815,1163.110476,1046.904725,798.7668159,54.51729889
Mar-08-2017,1150,1197.46,1141.23,1188.35,275023899,19021290582,1170.767143,1052.414569,801.7848955,51.91963286
Mar-09-2017,1188.49,1270.47,1077.25,1116.42,270583496.5,19425153404,1174.061429,1056.992059,804.446602,43.29887284
Mar-10-2017,1116.72,1193.83,1116.32,1175.21,549515569.4,18929135401,1179.825714,1062.399235,807.3738209,53.51307547
Mar-11-2017,1175.83,1226.98,1175.36,1221.39,234017260.4,19380316110,1188.095238,1068.798216,810.5470498,55.81070953
Mar-12-2017,1221.38,1237.37,1217.03,1231.75,309097648.1,19891930052,1195.298095,1074.875412,813.788995,55.52365785
Mar-13-2017,1231.92,1244.81,1220.72,1240.06,304416097.2,20017472281,1201.242381,1081.080275,817.0836816,56.22086548
Mar-14-2017,1240,1251.61,1239.75,1249.56,242288902.8,20197900295,1207.521429,1087.510784,820.4169005,53.10843054
Mar-15-2017,1249.61,1257.98,1152.44,1188.54,477139602.8,19900188875,1208.18381,1093.319686,823.493398,43.50774192
Mar-16-2017,1187.81,1187.81,1099.57,1099.57,716295673.6,18461300298,1204.646667,1097.207392,826.1086866,34.00739648
Mar-17-2017,1100.23,1114.07,957.655,973.313,591856656.3,17055437976,1196.560143,1098.296118,828.0949055,28.4672056
Mar-18-2017,973.818,1069.91,973.818,1038.05,558958687.5,16647414787,1190.487762,1100.615451,830.3868408,33.83115106
Mar-19-2017,1036.74,1063.03,1036.68,1053.31,342144305.3,17083194506,1184.501095,1103.198333,832.7648557,34.7361435
Mar-20-2017,1054.23,1122.43,1054.23,1119.92,304371954.9,17768541844,1181.652524,1107.127784,835.4894328,42.94690215
Mar-21-2017,1120.54,1120.65,1014.21,1049.38,347011225.7,17308488696,1173.460143,1109.650373,837.8468458,43.03046053
Mar-22-2017,1049.14,1058.01,1028.93,1038.33,309805721.3,16980444590,1163.316333,1110.979294,840.0379502,39.42797464
Mar-23-2017,1038.59,1040.47,934.358,935.192,335641121.5,16215891513,1147.128333,1109.922,841.6633781,37.7668005
Mar-24-2017,937.52,975.761,903.713,974.799,515419753.5,15175434108,1133.751619,1109.199039,843.4955274,36.1122545
Mar-25-2017,972.779,1007.96,954.186,964.909,336942430.6,15856667135,1119.352524,1107.947451,845.2592736,31.28556189
Mar-26-2017,966.725,1046.4,966.725,1046.4,324184139.4,16435272948,1108.575381,1108.022745,847.407806,37.74756075
Mar-27-2017,1045.77,1064.65,1027.73,1047.49,373652586.8,16979559620,1100.179667,1108.398235,849.5026169,37.14760532
Mar-28-2017,1047.15,1055.13,1015.88,1039.68,323618635.4,16823470211,1094.83919,1108.436078,851.5760448,35.96064056
Mar-29-2017,1039.97,1049.29,1020.04,1026.28,294159104.5,16803351867,1087.121571,1107.750196,853.5796219,38.4075159
Mar-30-2017,1026.43,1074.92,1026.43,1071.45,412114993.1,17044786380,1084.980143,1107.916078,855.8926617,47.85687067
Mar-31-2017,1071.79,1091.72,1061.09,1080.28,352716725.7,17462864784,1080.459667,1109.628725,858.2420846,59.92967252
Apr-01-2017,1080.5,1107.59,1075.45,1102.04,329828510.4,17675270293,1074.776333,1111.828706,860.6946169,56.45521199
Apr-02-2017,1102.17,1151.74,1102.17,1142.26,631703843.2,18437952252,1070.514905,1114.536745,863.3389254,58.54292882
Apr-03-2017,1143.81,1156.44,1120.52,1132.8,507484461.8,18552322316,1065.407286,1117.158412,865.9535622,51.38956017
Apr-04-2017,1133.25,1135.09,1113.63,1124.33,372516399.3,18290269307,1059.443952,1119.772216,868.5275124,59.33639938
Apr-05-2017,1124.78,1188.37,1124.78,1183.28,462829588.9,18802371427,1059.193476,1123.276137,871.3988756,66.13115031
Apr-06-2017,1182.68,1186.58,1163.39,1176.21,425674375,19062087293,1062.843,1126.585745,874.2163035,84.11745721
Apr-07-2017,1176.9,1184.98,1162.58,1175.65,259772184,19056046736,1072.478095,1129.489471,877.0343831,81.96523549
Apr-08-2017,1175.95,1197.21,1171.86,1188.05,195427494.8,19233284441,1079.620952,1132.250451,879.9147512,85.2311948
Apr-09-2017,1187.87,1190.34,1179.04,1186.58,237790038.2,19278273103,1085.967143,1134.846922,882.847607,79.61632722
Apr-10-2017,1187.13,1208.07,1187.13,1205.76,213989114.6,19472888909,1090.054762,1137.945549,885.880005,81.06378803
Apr-11-2017,1205.01,1207.14,1196.76,1200.85,238212826.4,19541973620,1097.267619,1140.305549,888.8550746,81.99722057
Apr-12-2017,1200.37,1205.89,1156.44,1169.01,331760947.7,19232746359,1103.490476,1141.360059,891.6731891,76.40312257
Apr-13-2017,1169.28,1190.8,1159.79,1167.81,296431496.5,19087997123,1114.567524,1142.342608,894.4938408,71.28844115
Apr-14-2017,1167.54,1188,1164.96,1172.48,218630489.6,19168053317,1123.980905,1142.300451,897.3014876,70.75081023
Apr-15-2017,1172.52,1187.22,1172.52,1183.19,192055550.5,19224833435,1134.375238,1142.483588,900.1723881,69.219838
Apr-16-2017,1182.94,1194.9,1172.65,1193.99,209076972.2,19251464916,1141.403333,1143.480843,903.1036965,64.23578623
Apr-17-2017,1193.91,1217.57,1193.77,1211.68,272997781.3,19687877654,1149.221905,1144.384961,906.1190249,70.76663858
Apr-18-2017,1211.67,1215.51,1205.08,1209.93,249810510.4,19692568944,1157.329048,1144.990843,909.105393,73.36244541
Apr-19-2017,1210.29,1240.79,1208.41,1229.01,296555982.6,19882597172,1166.982857,1145.956922,912.1653184,65.95269657
Apr-20-2017,1229.08,1235.94,1215.56,1221.54,297994753.5,19948986269,1174.13,1145.959275,915.2031592,65.76915049
Apr-21-2017,1222.05,1235.56,1208.47,1232.13,239769750,19961086564,1181.360952,1145.582412,918.2880348,68.36628512
Apr-22-2017,1231.71,1232.2,1203.94,1206.77,267381637.6,19869434390,1186.348095,1144.241824,921.2562239,55.61420345
Apr-23-2017,1207.21,1250.94,1207.21,1250.35,250969298.6,20023617055,1191.495238,1144.136725,924.4294229,65.26840013
Apr-24-2017,1250.15,1267.58,1249.97,1265.3,225315503.5,20503387221,1197.804762,1144.097706,927.6745423,64.55034213
Apr-25-2017,1265.49,1294.83,1265.49,1281.09,267342812.5,20832327325,1205.269524,1144.261824,930.9784726,68.61889735
Apr-26-2017,1281.08,1319.7,1281.08,1317.93,391933351.9,21206358837,1211.681429,1146.10751,934.455393,83.77177068
Apr-27-2017,1317.73,1331.28,1292.37,1316.84,500212295.1,21377949011,1218.378095,1149.343,937.9391393,83.81358624
Apr-28-2017,1316.48,1327.2,1315.21,1321.53,458149631.9,21567974760,1225.324762,1151.954373,941.4353781,83.81505513
Apr-29-2017,1321.79,1347.91,1314.92,1347.91,361906975.6,21565527585,1232.937143,1156.493392,944.949796,84.88943489
Apr-30-2017,1347.89,1434.32,1347.89,1422.5,559505677.1,22632430278,1244.171429,1161.342216,948.8616269,88.10405203
May-01-2017,1421.6,1473.9,1415.69,1452.84,627462531.3,23515799855,1255.937143,1165.880451,952.9221194,88.5856
May-02-2017,1452.82,1492.77,1447.49,1488.82,473923562.5,23921954688,1269.65,1170.921039,957.1435522,90.21717186
May-03-2017,1490.09,1608.91,1490.09,1533.93,726866115,25019062027,1287.027143,1176.683196,961.5985572,90.90031119
May-04-2017,1537.67,1618.03,1530.31,1555.89,1041419906,25881001355,1305.507143,1182.689667,966.1482388,93.16978696
May-05-2017,1555.45,1578.7,1542.5,1578.7,730011385.4,25528484231,1324.850952,1190.339863,970.8223831,93.37872681
May-06-2017,1578.8,1596.72,1559.76,1596.72,734935616.2,25702776385,1344.542857,1200.087902,975.5924876,99.72203096
May-07-2017,1596.71,1723.03,1596.71,1723.03,1338145243,27041680536,1369.735238,1214.788235,981.0277264,99.77045866
May-08-2017,1723.35,1833.49,1716.3,1754.51,1276492823,29065176745,1395.584286,1228.836471,986.617398,99.77818026
May-09-2017,1755.36,1788.44,1719.1,1780.69,997842652.8,28616954500,1422.763333,1243.098824,992.3278159,99.78277333
May-10-2017,1787.13,1873.93,1755.35,1847.56,847431449.5,29818166963,1452.218095,1257.366275,998.2519303,99.79503958
May-11-2017,1848.57,1856.15,1694.01,1723.97,740455055.6,29257381572,1476.143333,1270.593529,1003.560726,81.1113998
May-12-2017,1724.24,1812.99,1651.08,1796.03,712328076.4,28322378123,1502.995714,1285.450392,1009.242746,82.8746813
May-13-2017,1804.91,1831.42,1776.62,1804.8,462909909.4,29428815730,1531.473333,1302.501529,1014.95199,82.44634766
May-14-2017,1808.91,1812.8,1708.54,1741.64,552691618.1,28687166178,1554.868095,1317.537627,1020.241313,73.03794179
May-15-2017,1738.43,1785.94,1686.54,1735.58,885833211.8,28364050777,1577.262381,1332.648824,1025.453453,71.15177449
